UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
72,M00072,L,299.531,309.179,1528.521,37.589,183.456,0,0,0,0,0,0
73,M00073,H,299.496,307.748,1319.887,15.424,32.856,0,0,0,0,0,0
74,M00074,L,296.558,307.332,1536.653,29.032,43.48,0,0,0,0,0,0
75,M00075,L,301.079,311.583,1260.106,27.475,83.91,0,0,0,0,0,0
76,M00076,L,298.608,309.62,1661.144,19.612,139.915,0,0,0,0,0,0
77,M00077,L,301.494,311.165,1658.415,46.492,85.045,0,0,0,0,0,0
78,M00078,M,302.633,310.612,1498.727,38.695,69.322,0,0,0,0,0,0
79,M00079,M,299.624,310.265,1357.067,33.803,186.693,0,0,0,0,0,0
80,M00080,M,297.953,307.942,1568.449,46.71,96.675,0,0,0,0,0,0
81,M00081,M,299.967,311.637,1304.718,23.557,64.105,0,0,0,0,0,0
82,M00082,L,300.697,310.732,1507.599,26.564,147.624,0,0,0,0,0,0
83,M00083,H,299.369,309.314,1466.601,51.173,124.101,0,0,0,0,0,0
84,M00084,L,298.872,309.373,2078.58,62.814,122.01,1,0,0,1,0,0
85,M00085,L,301.127,310.411,1230.048,46.842,151.04,0,0,0,0,0,0
86,M00086,L,300.995,310.221,1100.0,44.716,110.379,0,0,0,0,0,0
87,M00087,M,299.307,309.19,1359.732,34.181,179.13,0,0,0,0,0,0
88,M00088,L,296.692,305.587,1122.583,34.411,20.012,0,0,0,0,0,0
89,M00089,L,300.913,310.638,1340.127,42.273,206.89,0,0,0,0,0,0
90,M00090,M,298.465,310.793,1214.527,53.729,56.076,0,0,0,0,0,0
91,M00091,L,300.429,311.68,1301.01,44.265,5.435,0,0,0,0,0,0
92,M00092,M,300.302,310.672,1265.72,49.58,64.818,0,0,0,0,0,0
93,M00093,L,296.222,308.084,1711.849,30.838,95.533,0,0,0,0,0,0
94,M00094,L,300.162,309.172,1489.324,46.169,68.551,0,0,0,0,0,0
95,M00095,L,301.029,314.018,1736.6,33.287,52.439,0,0,0,0,0,0
96,M00096,M,301.274,310.722,1508.906,41.402,190.74,0,0,0,0,0,0
97,M00097,L,300.235,312.639,1704.29,46.158,59.056,0,0,0,0,0,0
98,M00098,L,296.046,308.445,1433.528,34.688,0.0,0,0,0,0,0,0
99,M00099,L,302.554,310.45,1850.801,29.829,95.469,0,0,0,0,0,0
100,M00100,H,300.822,312.583,1603.613,43.626,260.0,0,0,0,0,0,0
101,M00101,H,297.593,307.253,1328.439,38.652,45.517,0,0,0,0,0,0
102,M00102,M,298.424,307.743,1636.213,41.361,57.025,0,0,0,0,0,0
103,M00103,L,300.462,311.092,1505.962,46.571,91.743,0,0,0,0,0,0
104,M00104,H,301.36,310.15,1455.448,53.073,228.095,0,0,0,0,0,0
105,M00105,M,299.024,309.626,1521.125,46.633,94.833,0,0,0,0,0,0
106,M00106,M,301.651,310.522,1665.275,45.319,48.367,0,0,0,0,0,0
107,M00107,L,296.414,306.627,1100.0,34.996,145.415,0,0,0,0,0,0
108,M00108,L,297.915,309.518,1422.793,36.532,140.205,0,0,0,0,0,0
109,M00109,L,295.871,306.335,1650.188,44.545,154.066,0,0,0,0,0,0
110,M00110,H,298.205,307.773,1554.61,36.368,45.638,0,0,0,0,0,0
111,M00111,L,303.016,313.666,1252.196,44.504,80.486,0,0,0,0,0,0
112,M00112,L,304.116,312.428,1100.0,31.844,198.797,0,0,0,0,0,0
113,M00113,L,300.469,309.463,1874.204,59.293,148.631,1,0,0,1,0,0
114,M00114,M,298.723,308.207,1458.842,41.937,176.607,0,0,0,0,0,0
115,M00115,L,299.557,310.501,1833.091,41.28,116.212,0,0,0,0,0,0
116,M00116,H,300.947,311.434,1674.892,35.174,193.946,0,0,0,0,0,0
117,M00117,M,296.874,307.516,1325.405,59.13,140.521,1,0,1,0,0,0
118,M00118,M,298.855,308.822,1100.0,27.467,83.352,0,0,0,0,0,0
119,M00119,L,302.87,311.924,1398.327,32.97,172.183,0,0,0,0,0,0
120,M00120,M,297.909,309.694,1491.807,48.536,58.746,0,0,0,0,0,0
121,M00121,M,298.502,307.665,1599.145,42.397,228.049,0,0,0,0,0,0
122,M00122,M,300.026,310.529,1255.607,34.232,190.569,1,1,0,0,0,0
123,M00123,L,300.566,310.432,1539.161,34.519,99.511,0,0,0,0,0,0
124,M00124,L,298.75,309.426,1539.081,37.091,107.052,0,0,0,0,0,0
125,M00125,L,300.154,309.427,1716.91,41.021,129.265,0,0,0,0,0,0
126,M00126,L,301.216,312.479,1432.502,55.536,107.9,1,0,1,0,0,0
127,M00127,L,303.923,315.577,1597.407,46.052,212.33,0,0,0,0,0,0
128,M00128,L,299.748,310.937,1563.456,50.233,82.287,0,0,0,0,0,0
129,M00129,L,299.917,310.107,1692.629,35.657,14.822,0,0,0,0,0,0
130,M00130,M,303.055,312.533,1319.62,45.157,101.894,0,0,0,0,0,0
131,M00131,L,298.902,312.288,1100.0,24.452,172.678,0,0,0,0,0,0
132,M00132,H,297.351,306.161,1447.89,41.821,191.027,0,0,0,0,0,0
133,M00133,M,300.5,311.558,1449.187,41.18,127.967,0,0,0,0,0,0
134,M00134,L,302.152,312.552,1245.346,58.214,75.631,1,0,1,0,0,0
135,M00135,M,300.722,310.647,1168.227,55.576,116.914,1,0,1,0,0,0
136,M00136,L,299.806,310.028,1373.566,37.416,74.139,0,0,0,0,0,0
137,M00137,H,297.103,306.491,1474.727,31.829,0.0,0,0,0,0,0,0
138,M00138,L,299.883,310.396,1520.994,32.103,60.357,0,0,0,0,0,0
139,M00139,M,302.466,312.846,1100.0,37.054,155.728,0,0,0,0,0,0
140,M00140,L,297.532,310.745,1114.221,53.017,101.054,0,0,0,0,0,0
141,M00141,L,299.511,310.795,1748.502,44.149,98.402,0,0,0,0,0,0
142,M00142,L,299.225,309.844,1458.286,45.18,197.478,0,0,0,0,0,0
143,M00143,H,298.605,309.295,1499.465,48.112,52.522,0,0,0,0,0,0
144,M00144,M,300.496,312.703,1206.684,30.058,59.365,0,0,0,0,0,0
145,M00145,L,300.887,309.722,1499.031,32.909,143.166,0,0,0,0,0,0
146,M00146,L,300.866,310.646,1417.352,45.202,70.171,0,0,0,0,0,0
147,M00147,L,298.046,305.758,1363.923,32.211,69.822,0,0,0,0,0,0
148,M00148,M,296.708,307.379,1178.396,24.736,228.447,1,1,0,0,0,0
149,M00149,L,300.525,311.543,1308.933,29.174,44.957,0,0,0,0,0,0
150,M00150,L,298.988,307.793,1933.844,50.544,68.725,0,0,0,0,0,0
151,M00151,H,303.677,315.399,1423.116,36.259,150.722,0,0,0,0,0,0
152,M00152,H,303.769,312.906,1673.716,42.259,116.577,0,0,0,0,0,0
153,M00153,L,303.981,313.57,1456.792,29.675,23.857,0,0,0,0,0,0
154,M00154,M,298.12,308.263,1431.334,43.794,244.881,0,0,0,0,0,0
155,M00155,L,301.139,313.052,1360.079,37.304,64.401,0,0,0,0,0,0
156,M00156,M,301.742,310.712,1796.039,44.462,102.813,0,0,0,0,0,0
157,M00157,L,301.517,311.866,1582.076,35.221,150.578,0,0,0,0,0,0
158,M00158,M,299.291,310.221,1326.286,45.043,260.0,1,1,0,0,0,0
159,M00159,M,302.558,313.24,1413.296,34.73,91.318,0,0,0,0,0,0
160,M00160,M,300.001,310.727,1736.7,39.197,55.641,0,0,0,0,0,0
161,M00161,L,300.256,311.17,1100.0,37.283,154.84,0,0,0,0,0,0
162,M00162,H,296.924,306.259,1568.31,40.262,260.0,0,0,0,0,0,0
163,M00163,L,301.29,313.315,1618.272,42.791,129.517,0,0,0,0,0,0
164,M00164,L,299.479,309.346,1335.056,35.051,100.017,0,0,0,0,0,0
165,M00165,M,300.93,310.637,1534.011,38.804,147.391,0,0,0,0,0,0
166,M00166,L,300.47,312.087,1610.508,41.865,0.0,0,0,0,0,0,0
167,M00167,H,300.362,309.605,1229.148,45.077,76.949,0,0,0,0,0,0
168,M00168,H,299.909,310.293,1685.226,39.239,0.0,0,0,0,0,0,0
169,M00169,L,301.573,310.706,1565.415,31.129,94.8,0,0,0,0,0,0
170,M00170,H,299.602,312.625,1466.346,40.865,84.091,0,0,0,0,0,0
171,M00171,L,297.09,309.86,1523.084,46.703,0.0,0,0,0,0,0,0
172,M00172,M,301.138,311.006,1655.582,26.669,132.547,0,0,0,0,0,0
173,M00173,L,298.382,309.006,2009.546,26.785,163.267,0,0,0,0,0,0
174,M00174,H,297.351,307.358,1634.188,33.378,106.461,0,0,0,0,0,0
175,M00175,L,297.956,307.537,1678.328,38.077,13.012,0,0,0,0,0,0
176,M00176,L,300.567,310.71,1542.576,18.031,208.566,0,0,0,0,0,0
177,M00177,L,299.807,309.758,1918.363,45.741,252.801,1,0,0,0,1,0
178,M00178,H,295.735,303.91,1177.481,38.175,148.013,0,0,0,0,0,0
179,M00179,H,299.233,309.548,1117.772,16.489,95.21,0,0,0,0,0,0
180,M00180,M,302.338,312.288,1533.667,28.868,96.124,0,0,0,0,0,0
181,M00181,H,299.097,309.472,1645.231,36.994,150.334,0,0,0,0,0,0
182,M00182,H,299.669,309.576,1100.0,22.275,126.3,0,0,0,0,0,0
183,M00183,M,302.086,311.654,1499.244,49.705,150.487,0,0,0,0,0,0
184,M00184,L,301.591,312.641,1460.292,41.868,151.496,0,0,0,0,0,0
185,M00185,M,302.044,312.683,1663.715,46.782,68.327,0,0,0,0,0,0
186,M00186,M,294.455,306.13,1594.322,29.71,62.399,0,0,0,0,0,0
187,M00187,L,303.467,314.061,1102.191,44.114,100.373,0,0,0,0,0,0
188,M00188,L,301.273,311.036,1262.387,33.394,152.727,0,0,0,0,0,0
189,M00189,M,304.923,315.663,1322.506,38.075,10.842,0,0,0,0,0,0
190,M00190,L,298.435,306.059,1662.568,43.528,103.994,0,0,0,0,0,0
191,M00191,H,296.473,308.998,1582.422,39.299,117.481,0,0,0,0,0,0
192,M00192,L,300.014,310.344,1363.441,48.084,85.926,0,0,0,0,0,0
193,M00193,L,299.449,312.071,1531.8,41.391,218.19,0,0,0,0,0,0
194,M00194,H,301.307,310.264,1267.239,35.369,206.242,0,0,0,0,0,0
195,M00195,L,302.15,310.809,1950.921,48.429,149.089,0,0,0,0,0,0
196,M00196,L,299.825,310.264,1626.359,50.537,243.928,0,0,0,0,0,0
197,M00197,M,299.519,309.954,1672.959,40.876,181.484,0,0,0,0,0,0
198,M00198,H,301.045,311.451,1802.898,53.361,129.388,0,0,0,0,0,0
199,M00199,L,299.487,309.71,1723.574,37.646,86.615,0,0,0,0,0,0
200,M00200,L,299.32,308.566,1506.936,38.721,92.333,0,0,0,0,0,0
201,M00201,M,302.074,310.292,1459.308,40.044,146.636,0,0,0,0,0,0
202,M00202,H,302.52,312.859,1783.423,38.702,93.975,0,0,0,0,0,0
203,M00203,M,302.168,310.629,1505.838,36.895,13.814,0,0,0,0,0,0
204,M00204,L,299.664,308.011,1335.216,32.851,93.352,0,0,0,0,0,0
205,M00205,L,295.72,305.264,1932.659,30.059,191.932,0,0,0,0,0,0
206,M00206,L,299.704,310.22,1294.096,41.108,0.0,0,0,0,0,0,0
207,M00207,L,298.484,310.869,1118.365,51.983,218.214,1,1,0,0,0,1
208,M00208,M,299.741,310.916,1718.411,48.142,160.184,0,0,0,0,0,0
209,M00209,L,298.658,310.378,1339.126,43.881,103.591,0,0,0,0,0,0
210,M00210,M,299.959,310.743,1595.721,52.492,140.136,0,0,0,0,0,0
211,M00211,M,297.921,308.362,1899.786,40.192,187.277,0,0,0,0,0,0
212,M00212,M,297.439,310.446,1197.534,30.112,122.338,0,0,0,0,0,0
213,M00213,L,302.445,310.858,1490.999,36.506,186.405,0,0,0,0,0,0
214,M00214,H,298.061,307.565,1826.35,39.393,179.558,0,0,0,0,0,0
215,M00215,M,300.001,309.598,1650.015,34.876,132.261,0,0,0,0,0,0
216,M00216,M,301.909,312.981,1460.439,46.101,42.25,0,0,0,0,0,0
217,M00217,L,301.829,310.654,2025.663,49.355,113.157,0,0,0,0,0,0
218,M00218,L,301.59,312.506,1479.03,22.679,0.0,0,0,0,0,0,0
219,M00219,H,300.606,311.301,1587.312,38.545,151.199,0,0,0,0,0,0
220,M00220,L,301.448,312.424,1862.858,10.969,90.621,0,0,0,0,0,0
221,M00221,L,302.746,313.7,1715.79,39.084,76.93,0,0,0,0,0,0
222,M00222,L,300.85,312.696,1790.778,38.972,165.886,0,0,0,0,0,0
223,M00223,M,296.326,306.267,1302.101,57.762,31.071,1,0,1,0,0,0
224,M00224,H,298.943,309.579,1770.198,54.763,127.848,0,0,0,0,0,0
225,M00225,L,301.393,310.509,1537.31,49.324,96.214,0,0,0,0,0,0
226,M00226,H,298.746,307.588,1335.929,30.403,107.371,0,0,0,0,0,0
227,M00227,L,303.24,315.358,1548.828,29.825,139.9,0,0,0,0,0,0
228,M00228,M,299.874,308.899,1541.854,29.039,247.641,0,0,0,0,0,0
229,M00229,M,300.17,310.94,1910.979,55.266,147.894,0,0,0,0,0,0
230,M00230,L,302.249,312.887,1583.885,30.896,215.079,0,0,0,0,0,0
231,M00231,L,299.634,311.044,1328.223,36.144,217.683,0,0,0,0,0,0
232,M00232,L,300.353,308.363,1277.486,31.002,173.878,0,0,0,0,0,0
233,M00233,H,301.798,312.868,1489.573,27.418,0.0,0,0,0,0,0,0
234,M00234,M,297.055,306.986,1203.8,43.326,103.224,0,0,0,0,0,0
235,M00235,H,299.429,308.71,1342.622,41.533,43.655,0,0,0,0,0,0
236,M00236,H,301.658,311.357,1446.278,17.754,260.0,0,0,0,0,0,0
237,M00237,L,300.131,311.375,1407.185,26.981,49.735,0,0,0,0,0,0
238,M00238,M,302.935,313.812,1659.92,42.552,15.193,0,0,0,0,0,0
239,M00239,L,296.848,306.695,1337.678,39.278,0.0,0,0,0,0,0,0
240,M00240,L,296.62,305.253,1100.0,35.991,47.461,0,0,0,0,0,0
241,M00241,H,301.539,310.257,1129.13,46.057,128.599,0,0,0,0,0,0
242,M00242,M,301.732,312.635,1496.08,25.57,196.107,0,0,0,0,0,0
243,M00243,L,299.613,308.08,1370.903,34.05,45.088,0,0,0,0,0,0
244,M00244,M,300.801,310.659,1227.932,45.18,202.003,0,0,0,0,0,0
245,M00245,M,301.49,314.708,1930.859,33.507,115.542,0,0,0,0,0,0
246,M00246,H,298.372,308.924,1682.325,43.125,86.021,0,0,0,0,0,0
247,M00247,M,298.586,309.477,1487.146,28.538,132.099,0,0,0,0,0,0
248,M00248,L,300.379,309.106,1551.325,31.762,219.23,0,0,0,0,0,0
249,M00249,L,301.808,310.335,1441.669,22.178,123.578,0,0,0,0,0,0
250,M00250,L,297.668,308.623,1224.161,19.429,42.422,0,0,0,0,0,0
251,M00251,M,299.604,309.265,1726.758,35.241,149.69,0,0,0,0,0,0
252,M00252,H,299.512,310.92,1687.293,44.5,148.57,0,0,0,0,0,0
253,M00253,L,300.836,311.008,1100.0,38.852,106.681,0,0,0,0,0,0
254,M00254,L,299.983,314.25,1549.815,51.603,191.508,0,0,0,0,0,0
255,M00255,L,298.908,308.341,1574.103,36.072,0.0,0,0,0,0,0,0
256,M00256,M,302.497,312.964,1429.219,18.799,144.995,0,0,0,0,0,0
257,M00257,H,298.921,307.969,1961.398,43.442,174.904,0,0,0,0,0,0
258,M00258,L,299.416,310.774,1937.524,29.215,18.583,0,0,0,0,0,0
259,M00259,L,296.817,307.466,1416.948,41.259,16.172,0,0,0,0,0,0
260,M00260,M,298.573,307.539,1450.98,17.145,189.869,1,1,0,0,0,0
261,M00261,L,301.032,310.771,1425.141,37.25,202.212,0,0,0,0,0,0
262,M00262,H,300.641,312.407,1365.507,47.027,215.184,1,1,0,0,0,0
263,M00263,L,301.199,312.821,1297.433,45.805,71.491,0,0,0,0,0,0
264,M00264,L,301.102,309.525,1611.509,37.493,134.075,0,0,0,0,0,0
265,M00265,H,304.175,313.736,1931.517,39.487,143.329,0,0,0,0,0,0
266,M00266,L,298.504,310.81,1841.018,35.028,0.495,0,0,0,0,0,0
267,M00267,L,296.761,306.681,1673.619,37.017,131.008,0,0,0,0,0,0
268,M00268,L,297.899,308.239,1100.0,46.268,129.71,0,0,0,0,0,0
269,M00269,L,298.593,309.945,1100.0,32.501,172.172,0,0,0,0,0,0
270,M00270,L,298.051,306.573,1734.116,33.481,79.99,0,0,0,0,0,0
271,M00271,L,300.187,309.18,1856.262,24.205,207.531,0,0,0,0,0,0
272,M00272,L,302.505,312.237,1621.822,46.467,125.624,0,0,0,0,0,0
273,M00273,L,303.079,314.645,1432.772,36.801,239.68,0,0,0,0,0,0
274,M00274,M,301.009,312.352,1797.506,27.371,172.263,0,0,0,0,0,0
275,M00275,M,304.283,315.266,1665.791,48.223,139.439,0,0,0,0,0,0
276,M00276,L,299.287,309.24,1750.238,38.99,37.267,0,0,0,0,0,0
277,M00277,L,296.735,308.21,1100.0,32.032,27.6,0,0,0,0,0,0
278,M00278,M,302.106,312.043,1575.535,48.381,232.061,0,0,0,0,0,0
279,M00279,H,296.323,307.136,1890.406,36.041,181.441,1,1,0,0,0,0
280,M00280,H,298.49,309.704,1616.039,23.761,100.044,0,0,0,0,0,0
281,M00281,L,301.04,313.196,1708.614,49.04,90.824,0,0,0,0,0,0
282,M00282,L,299.795,309.848,1508.002,31.055,135.532,0,0,0,0,0,0
283,M00283,L,299.618,309.303,1523.337,69.657,25.837,0,0,0,0,0,0
284,M00284,L,297.638,309.313,1808.556,34.998,87.262,0,0,0,0,0,0
285,M00285,M,299.978,311.745,1352.647,19.3,162.878,0,0,0,0,0,0
286,M00286,L,302.007,311.475,1331.119,56.999,172.241,1,0,1,0,0,0
287,M00287,L,300.04,308.834,1394.793,38.892,94.234,0,0,0,0,0,0
288,M00288,L,298.34,309.922,1505.158,42.015,232.017,1,1,0,0,0,0
289,M00289,M,297.505,305.655,1145.78,43.274,193.149,0,0,0,0,0,0
290,M00290,L,298.381,306.469,1660.833,25.85,66.186,0,0,0,0,0,0
291,M00291,H,300.785,310.583,1463.866,17.789,30.693,0,0,0,0,0,0
292,M00292,L,300.687,310.81,1687.812,58.994,161.62,0,0,0,0,0,0
293,M00293,H,298.399,307.127,1100.0,23.823,88.495,0,0,0,0,0,0
294,M00294,L,295.578,305.845,1688.655,55.837,75.197,0,0,0,0,0,0
295,M00295,H,300.84,311.16,1794.117,44.721,135.602,0,0,0,0,0,0
296,M00296,H,298.205,307.628,1596.481,41.209,170.357,0,0,0,0,0,0
297,M00297,H,301.378,313.818,1506.604,34.775,175.435,0,0,0,0,0,0
298,M00298,H,298.488,309.003,1690.345,62.546,123.863,0,0,0,0,0,0
299,M00299,M,298.024,309.378,1779.714,32.53,0.0,0,0,0,0,0,0
300,M00300,M,300.306,308.559,1615.044,32.809,186.809,0,0,0,0,0,0
301,M00301,M,304.715,312.958,1631.481,46.188,63.575,0,0,0,0,0,0
302,M00302,L,301.498,312.05,1864.527,32.73,141.586,0,0,0,0,0,0
303,M00303,M,300.272,312.498,1667.455,29.345,111.449,0,0,0,0,0,0
304,M00304,M,300.718,309.506,1323.943,38.887,260.0,0,0,0,0,0,0
305,M00305,H,296.498,306.67,1778.661,46.345,260.0,0,0,0,0,0,0
306,M00306,L,297.755,306.273,1472.781,58.265,87.837,0,0,0,0,0,0
307,M00307,L,294.978,304.116,1507.322,60.304,25.875,0,0,0,0,0,0
308,M00308,M,303.46,313.691,1523.514,21.563,31.35,0,0,0,0,0,0
309,M00309,L,303.055,312.464,1713.151,49.898,139.01,0,0,0,0,0,0
310,M00310,L,300.786,309.219,1884.748,29.633,82.218,0,0,0,0,0,0
311,M00311,L,300.27,308.677,1505.373,30.132,42.221,0,0,0,0,0,0
312,M00312,L,296.897,304.634,1880.878,34.08,83.343,0,0,0,0,0,0
313,M00313,L,299.561,310.133,1536.209,33.443,151.583,0,0,0,0,0,0
314,M00314,L,303.585,314.302,1808.477,28.779,114.522,0,0,0,0,0,0
315,M00315,L,300.263,310.974,1543.655,16.223,86.233,0,0,0,0,0,0
316,M00316,L,298.871,307.78,1391.667,53.948,95.018,0,0,0,0,0,0
317,M00317,L,296.484,307.691,1922.862,48.469,108.665,0,0,0,0,0,0
318,M00318,M,302.761,313.609,1370.665,39.322,135.584,0,0,0,0,0,0
319,M00319,L,299.86,309.869,1355.942,29.812,139.69,0,0,0,0,0,0
320,M00320,H,296.487,306.298,1223.671,51.84,4.612,0,0,0,0,0,0
321,M00321,H,298.151,307.373,1778.799,38.853,131.669,0,0,0,0,0,0
322,M00322,L,297.445,307.676,1830.758,33.737,94.656,0,0,0,0,0,0
323,M00323,L,299.737,311.677,1582.089,23.047,49.034,0,0,0,0,0,0
324,M00324,M,300.415,311.78,1283.548,44.872,93.91,0,0,0,0,0,0
325,M00325,H,298.994,308.686,1498.509,36.146,200.93,1,1,0,0,0,0
326,M00326,M,301.554,312.2,1433.424,42.102,176.604,0,0,0,0,0,0
327,M00327,H,300.158,308.836,1273.297,41.177,126.804,0,0,0,0,0,0
328,M00328,M,302.125,313.001,1392.444,45.848,57.203,1,0,0,0,0,1
329,M00329,M,299.286,308.289,1611.262,41.666,24.826,0,0,0,0,0,0
330,M00330,L,306.091,316.919,1366.863,36.445,54.073,0,0,0,0,0,0
331,M00331,M,298.871,312.434,1564.181,45.041,120.855,0,0,0,0,0,0
332,M00332,L,298.193,307.509,1109.209,49.004,122.33,0,0,0,0,0,0
333,M00333,M,297.947,311.455,1869.42,54.96,74.405,0,0,0,0,0,0
334,M00334,H,299.578,310.167,1413.889,28.291,181.446,0,0,0,0,0,0
335,M00335,L,296.561,305.661,1691.455,50.619,146.914,0,0,0,0,0,0
336,M00336,M,300.589,309.635,1541.511,23.618,0.0,0,0,0,0,0,0
337,M00337,L,296.189,309.027,1588.55,49.643,127.642,0,0,0,0,0,0
