datetime,machineID,comp
2015-02-23 06:00:00,5,comp1
2015-03-10 06:00:00,5,comp4
2015-03-25 06:00:00,5,comp4
2014-06-01 06:00:00,6,comp2
2014-09-14 06:00:00,6,comp3
2014-09-14 06:00:00,6,comp4
2014-12-28 06:00:00,6,comp1
2015-01-22 06:00:00,6,comp4
2015-02-06 06:00:00,6,comp4
2015-02-06 06:00:00,6,comp3
2015-02-21 06:00:00,6,comp4
2015-02-21 06:00:00,6,comp3
2015-03-08 06:00:00,6,comp3
2015-03-08 06:00:00,6,comp4
2015-03-23 06:00:00,6,comp4
2014-07-01 06:00:00,7,comp1
2014-07-01 06:00:00,7,comp3
2014-08-15 06:00:00,7,comp2
2014-11-28 06:00:00,7,comp4
2015-01-24 06:00:00,7,comp2
2015-01-24 06:00:00,7,comp4
2015-02-08 06:00:00,7,comp1
2015-02-08 06:00:00,7,comp2
2015-02-23 06:00:00,7,comp1
2015-02-23 06:00:00,7,comp2
2015-03-10 06:00:00,7,comp2
2015-03-25 06:00:00,7,comp3
2015-03-25 06:00:00,7,comp2
2014-08-30 06:00:00,8,comp3
2014-10-14 06:00:00,8,comp2
2014-11-28 06:00:00,8,comp1
2014-12-13 06:00:00,8,comp4
2015-01-06 06:00:00,8,comp4
2015-01-21 06:00:00,8,comp1
2015-03-07 06:00:00,8,comp2
2015-03-22 06:00:00,8,comp4
2014-06-01 06:00:00,9,comp1
2014-06-01 06:00:00,9,comp2
2014-11-28 06:00:00,9,comp4
2014-12-28 06:00:00,9,comp3
2015-02-02 06:00:00,9,comp4
2015-02-17 06:00:00,9,comp2
2015-03-04 06:00:00,9,comp1
2015-03-04 06:00:00,9,comp3
2015-03-19 06:00:00,9,comp1
2014-06-16 06:00:00,10,comp3
2014-08-30 06:00:00,10,comp2
2014-09-29 06:00:00,10,comp4
2014-10-14 06:00:00,10,comp1
2015-01-04 06:00:00,10,comp4
2015-01-19 06:00:00,10,comp3
2015-01-19 06:00:00,10,comp2
2015-02-03 06:00:00,10,comp2
2015-02-18 06:00:00,10,comp2
2015-03-05 06:00:00,10,comp1
2015-03-05 06:00:00,10,comp2
2015-03-20 06:00:00,10,comp1
2014-06-01 06:00:00,11,comp2
2014-07-16 06:00:00,11,comp1
2014-07-16 06:00:00,11,comp3
2014-11-13 06:00:00,11,comp4
2015-01-20 06:00:00,11,comp2
2015-01-20 06:00:00,11,comp4
2015-02-04 06:00:00,11,comp4
2015-02-19 06:00:00,11,comp3
2014-07-31 06:00:00,12,comp3
2014-08-15 06:00:00,12,comp2
2014-08-30 06:00:00,12,comp4
2014-11-13 06:00:00,12,comp1
2015-01-07 06:00:00,12,comp1
2015-01-07 06:00:00,12,comp2
2015-01-22 06:00:00,12,comp3
2015-02-06 06:00:00,12,comp2
2015-02-21 06:00:00,12,comp1
2015-03-08 06:00:00,12,comp3
2015-03-08 06:00:00,12,comp4
2015-03-23 06:00:00,12,comp2
2014-06-16 06:00:00,13,comp1
2014-08-30 06:00:00,13,comp4
2014-11-28 06:00:00,13,comp3
2014-12-28 06:00:00,13,comp2
2015-02-10 06:00:00,13,comp1
2015-02-25 06:00:00,13,comp2
2015-03-27 06:00:00,13,comp1
2014-07-16 06:00:00,14,comp4
2014-07-31 06:00:00,14,comp1
2014-10-14 06:00:00,14,comp2
2014-11-13 06:00:00,14,comp3
2015-01-01 06:00:00,14,comp1
2015-01-16 06:00:00,14,comp3
2015-01-31 06:00:00,14,comp2
2015-01-31 06:00:00,14,comp3
2015-02-15 06:00:00,14,comp3
2015-03-02 06:00:00,14,comp1
2015-03-17 06:00:00,14,comp1
2014-06-16 06:00:00,15,comp1
2014-08-15 06:00:00,15,comp2
2014-08-30 06:00:00,15,comp4
2014-12-13 06:00:00,15,comp3
2015-01-20 06:00:00,15,comp4
2015-01-20 06:00:00,15,comp2
2015-02-04 06:00:00,15,comp1
2015-02-19 06:00:00,15,comp3
2015-03-06 06:00:00,15,comp1
2014-06-01 06:00:00,16,comp4
2014-10-14 06:00:00,16,comp2
2014-10-29 06:00:00,16,comp3
2014-11-13 06:00:00,16,comp1
2015-01-17 06:00:00,16,comp1
2015-02-01 06:00:00,16,comp2
2015-02-16 06:00:00,16,comp4
2015-03-03 06:00:00,16,comp3
2015-03-18 06:00:00,16,comp3
2015-03-18 06:00:00,16,comp2
2014-08-15 06:00:00,17,comp3
2014-08-30 06:00:00,17,comp2
2014-09-29 06:00:00,17,comp4
2014-11-28 06:00:00,17,comp1
2015-01-01 06:00:00,17,comp4
2015-01-16 06:00:00,17,comp3
2015-01-31 06:00:00,17,comp1
2015-01-31 06:00:00,17,comp4
2015-02-15 06:00:00,17,comp2
2015-02-15 06:00:00,17,comp1
2015-03-17 06:00:00,17,comp3
2014-06-01 06:00:00,18,comp3
2014-06-16 06:00:00,18,comp4
2014-08-15 06:00:00,18,comp2
2014-11-28 06:00:00,18,comp1
2015-01-30 06:00:00,18,comp4
2015-02-14 06:00:00,18,comp4
2015-02-14 06:00:00,18,comp2
2015-03-01 06:00:00,18,comp2
2015-03-31 06:00:00,18,comp1
2014-06-01 06:00:00,19,comp4
2014-07-01 06:00:00,19,comp1
2014-08-15 06:00:00,19,comp2
2014-12-13 06:00:00,19,comp3
2015-01-13 06:00:00,19,comp1
2015-01-28 06:00:00,19,comp1
2015-01-28 06:00:00,19,comp2
2015-02-12 06:00:00,19,comp1
2015-02-27 06:00:00,19,comp4
2015-03-14 06:00:00,19,comp3
2014-06-01 06:00:00,20,comp1
2014-06-01 06:00:00,20,comp2
2014-07-01 06:00:00,20,comp4
2014-10-29 06:00:00,20,comp3
2015-01-04 06:00:00,20,comp2
2015-01-19 06:00:00,20,comp4
2015-02-03 06:00:00,20,comp2
2015-02-03 06:00:00,20,comp3
2015-02-18 06:00:00,20,comp3
2015-03-05 06:00:00,20,comp1
2015-03-20 06:00:00,20,comp1
2015-03-20 06:00:00,20,comp2
